REGIAO: Sudeste;
UF: SP;
ESTACAO: A701;
NOME: SAO PAULO - IAG;
CODIGO (WMO): A701;
LATITUDE: -23.651;
LONGITUDE: -46.623;
DATA DE FUNDACAO: 01/01/1960;

Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mb);
2023/01/01;0000;0,3;14,2;16,6;12,0;71,9;76,7;65,5;1,0;948,7;
2023/01/01;0300;0,2;22,0;24,1;20,6;79,0;85,3;73,2;0,6;933,8;
2023/01/01;0600;0,1;21,7;24,2;19,8;79,5;85,6;74,0;3,9;934,3;
2023/01/01;0900;0,4;19,8;21,4;17,2;77,9;80,9;72,7;0,6;931,1;
2023/01/01;1200;0,2;16,3;17,6;14,8;58,3;61,9;53,4;0,6;940,0;
2023/01/01;1500;0,1;23,8;26,3;22,5;60,4;64,0;54,6;1,0;941,7;
2023/01/01;1800;0,0;22,0;24,7;19,3;59,2;65,3;55,7;0,5;941,3;
2023/01/01;2100;1,0;18,5;20,6;17,0;72,4;76,1;67,8;0,4;940,0;
2023/01/02;0000;0,6;20,7;23,1;19,8;72,4;76,6;66,8;1,4;938,8;
2023/01/02;0300;0,5;25,2;27,3;23,8;64,5;68,9;59,4;3,0;944,5;
2023/01/02;0600;0,1;19,3;21,7;17,2;77,4;80,9;71,9;0,9;943,2;
2023/01/02;0900;0,2;20,2;22,5;18,7;87,3;92,2;82,8;1,4;944,9;
2023/01/02;1200;0,5;25,0;26,8;23,0;71,5;75,4;65,2;0,2;937,9;
2023/01/02;1500;0,1;20,8;22,9;19,3;72,7;77,2;68,2;1,0;939,2;
2023/01/02;1800;0,1;22,0;22,9;21,1;71,4;76,2;66,1;1,6;936,9;
2023/01/02;2100;0,0;20,2;22,4;18,1;67,8;72,8;63,1;1,8;935,4;
2023/01/03;0000;0,4;21,7;22,6;19,6;82,3;87,0;75,2;1,8;941,9;
2023/01/03;0300;0,0;23,2;25,3;22,0;55,3;60,1;50,9;15,8;937,1;
2023/01/03;0600;0,1;17,7;20,3;16,2;62,2;67,2;56,1;3,2;938,9;
2023/01/03;0900;0,8;26,4;29,0;24,0;74,1;79,2;67,1;1,7;945,6;
2023/01/03;1200;0,4;20,8;22,0;19,3;67,3;71,8;63,0;0,9;949,2;
2023/01/03;1500;0,3;25,4;26,3;22,9;76,9;81,9;72,4;3,8;938,5;
2023/01/03;1800;0,5;25,2;27,6;22,5;76,1;80,0;72,7;3,2;936,9;
2023/01/03;2100;0,3;22,2;24,0;20,4;59,5;64,5;55,0;0,7;941,9;
2023/01/04;0000;0,1;20,0;21,5;18,2;58,2;62,9;53,1;0,2;940,4;
2023/01/04;0300;0,0;22,9;24,6;20,5;73,1;78,9;66,4;0,8;932,2;
2023/01/04;0600;0,9;27,9;30,2;25,8;80,6;85,6;75,1;2,8;937,7;
2023/01/04;0900;1,2;17,4;19,8;15,9;77,0;83,1;74,2;0,1;945,2;
2023/01/04;1200;0,0;22,3;23,8;21,2;70,4;75,2;64,3;1,5;932,2;
2023/01/04;1500;0,4;21,9;23,9;19,2;67,1;72,5;62,2;6,7;926,5;
2023/01/04;1800;1,3;23,6;25,4;21,3;72,4;76,4;67,6;1,1;942,6;
2023/01/04;2100;0,2;21,6;24,5;19,2;79,0;84,8;73,9;3,6;943,7;
2023/01/05;0000;0,7;24,7;26,0;22,2;64,8;68,5;60,1;2,8;946,5;
2023/01/05;0300;0,1;19,8;22,6;17,0;72,8;77,0;65,3;1,6;948,6;
2023/01/05;0600;0,4;23,4;25,1;21,0;72,8;76,2;69,0;1,0;936,8;
2023/01/05;0900;0,2;14,7;16,6;12,8;83,7;90,2;80,0;5,1;942,0;
2023/01/05;1200;0,1;22,0;24,6;19,9;76,4;82,8;71,8;3,9;945,4;
2023/01/05;1500;0,1;19,6;21,8;17,7;75,7;79,9;71,0;0,5;939,7;
2023/01/05;1800;0,3;16,6;18,8;14,2;59,9;63,7;55,9;0,4;936,5;
2023/01/05;2100;0,4;22,3;23,9;20,5;79,3;83,1;74,9;0,2;942,1;
2023/01/06;0000;0,3;21,5;22,7;18,8;70,2;76,8;64,9;2,4;946,1;
2023/01/06;0300;0,4;20,8;23,7;19,0;73,9;79,8;65,7;0,2;945,5;
2023/01/06;0600;0,1;17,5;20,2;17,1;69,6;76,8;63,8;2,0;946,7;
2023/01/06;0900;0,4;18,8;20,3;16,1;63,4;66,9;59,4;1,2;940,9;
2023/01/06;1200;0,3;21,6;23,0;20,5;78,2;83,5;72,6;0,1;946,0;
2023/01/06;1500;0,5;21,5;22,9;19,1;68,2;74,2;63,2;1,9;944,3;
2023/01/06;1800;0,5;24,4;25,7;23,3;70,4;76,0;66,1;3,6;939,6;
2023/01/06;2100;0,5;19,6;21,1;16,4;54,0;57,8;46,4;0,5;934,8;
2023/01/07;0000;0,2;22,9;25,1;20,2;63,3;68,5;58,4;0,2;942,8;
2023/01/07;0300;0,1;23,3;25,8;21,3;62,9;66,5;58,4;0,8;933,2;
2023/01/07;0600;0,0;19,5;22,4;17,6;83,6;89,0;79,2;5,7;939,4;
2023/01/07;0900;0,1;16,5;18,3;15,2;75,8;80,4;71,1;2,7;937,9;
2023/01/07;1200;0,2;18,6;20,8;16,1;73,7;80,9;69,6;0,9;939,2;
2023/01/07;1500;0,4;22,9;25,3;21,7;68,7;74,3;63,4;2,4;939,1;
2023/01/07;1800;0,4;15,3;18,1;13,9;75,8;80,5;69,5;3,3;941,1;
2023/01/07;2100;0,2;19,9;21,4;18,6;66,0;71,9;62,0;0,3;946,0;
2023/01/08;0000;0,6;22,9;25,4;21,1;74,8;80,0;70,0;0,4;934,8;
2023/01/08;0300;0,1;22,8;24,8;21,0;71,9;77,5;68,6;0,6;937,3;
2023/01/08;0600;0,1;19,1;21,6;16,9;62,2;67,4;56,8;1,1;934,6;
2023/01/08;0900;0,8;16,7;19,8;15,6;61,0;66,0;57,8;2,7;934,2;
2023/01/08;1200;0,4;22,7;25,1;20,7;65,5;71,0;59,1;6,5;943,1;
2023/01/08;1500;0,1;18,9;21,2;16,6;61,1;65,9;55,5;1,0;945,8;
2023/01/08;1800;0,1;23,0;24,9;20,9;72,5;77,6;67,9;2,8;941,3;
2023/01/08;2100;0,4;22,7;24,6;20,3;67,3;74,6;62,1;2,0;946,2;
2023/01/09;0000;0,9;21,8;24,4;19,1;73,3;77,6;66,5;2,6;940,1;
2023/01/09;0300;0,0;21,7;23,8;20,1;73,7;79,0;68,7;0,6;939,7;
2023/01/09;0600;0,0;23,7;25,8;21,2;66,8;72,9;60,9;0,9;943,0;
2023/01/09;0900;0,0;16,7;18,5;14,6;69,8;73,7;64,7;2,9;935,0;
2023/01/09;1200;0,2;21,1;22,7;18,7;69,8;74,1;64,9;2,6;945,4;
2023/01/09;1500;0,1;16,7;18,6;15,2;66,8;71,0;60,5;9,2;943,6;
2023/01/09;1800;2,3;19,2;21,0;17,0;78,1;84,1;72,5;0,7;949,1;
2023/01/09;2100;0,4;22,8;24,6;21,2;62,4;66,2;56,7;1,4;948,0;
2023/01/10;0000;0,3;21,6;23,9;20,4;77,5;81,9;71,7;3,4;942,2;
2023/01/10;0300;0,2;21,9;24,2;19,0;71,1;76,3;67,9;0,2;942,1;
2023/01/10;0600;0,0;22,9;24,1;20,7;73,0;78,7;68,6;4,5;945,6;
2023/01/10;0900;0,3;22,4;24,0;21,1;66,7;72,6;61,3;0,1;929,3;
2023/01/10;1200;0,6;27,2;29,8;25,3;72,4;76,0;70,0;0,9;940,9;
2023/01/10;1500;0,3;19,3;21,8;16,4;59,1;64,0;54,6;1,3;940,2;
2023/01/10;1800;0,3;21,1;23,3;19,0;61,0;66,2;57,5;2,2;937,1;
2023/01/10;2100;0,0;21,0;23,5;18,9;57,8;63,0;51,7;1,7;928,3;
2023/01/11;0000;1,8;25,3;27,1;23,6;77,6;81,7;72,5;2,1;941,4;
2023/01/11;0300;0,9;20,9;22,2;19,3;70,0;73,1;64,9;3,4;938,7;
2023/01/11;0600;0,6;23,2;25,5;21,8;66,8;70,9;62,3;1,1;937,0;
2023/01/11;0900;0,9;24,2;26,3;21,5;68,2;72,4;63,1;2,0;932,0;
2023/01/11;1200;0,1;24,8;27,0;22,9;86,5;91,5;82,6;1,4;933,8;
2023/01/11;1500;0,1;22,2;23,5;20,5;61,7;66,8;57,4;1,8;942,7;
2023/01/11;1800;0,3;24,3;26,2;22,9;74,0;80,8;69,2;0,8;947,9;
2023/01/11;2100;0,0;18,3;19,9;16,3;55,5;62,6;50,6;3,4;940,2;
2023/01/12;0000;0,3;22,6;24,5;20,9;63,5;67,3;58,1;2,5;938,6;
2023/01/12;0300;0,4;20,9;23,7;19,3;57,7;63,0;51,8;0,1;927,6;
2023/01/12;0600;0,0;22,7;24,1;21,4;68,7;72,5;65,5;2,7;940,5;
2023/01/12;0900;1,0;21,4;22,5;20,1;74,7;80,2;72,3;1,1;933,7;
2023/01/12;1200;0,2;22,7;25,0;21,1;72,4;77,0;68,0;0,5;931,8;
2023/01/12;1500;0,4;18,0;20,3;16,1;79,4;84,1;75,0;7,7;945,7;
2023/01/12;1800;0,0;20,3;22,4;18,4;72,0;76,8;66,1;1,8;941,3;
2023/01/12;2100;0,1;16,9;19,4;15,7;65,7;70,2;60,5;2,0;948,1;
2023/01/13;0000;1,1;18,8;20,1;17,4;66,3;72,6;61,5;0,5;939,4;
2023/01/13;0300;1,2;22,2;23,7;20,2;73,0;80,5;67,1;2,9;948,2;
2023/01/13;0600;0,2;21,6;23,9;19,5;56,7;59,2;52,8;3,3;943,9;
2023/01/13;0900;0,7;25,4;26,8;22,7;61,7;66,5;57,8;1,1;941,2;
2023/01/13;1200;0,1;24,5;27,3;22,1;77,5;82,1;72,7;1,7;945,6;
2023/01/13;1500;0,3;21,1;23,2;19,9;68,1;74,0;62,7;0,1;944,1;
2023/01/13;1800;0,3;21,2;23,5;19,1;67,9;70,3;62,7;0,7;944,2;
2023/01/13;2100;0,4;14,6;16,7;12,5;74,0;77,8;68,5;3,9;933,7;
2023/01/14;0000;0,0;20,5;22,7;19,0;66,5;72,7;60,4;0,4;934,5;
2023/01/14;0300;0,2;19,6;21,3;17,6;69,9;76,2;63,4;1,7;949,0;
2023/01/14;0600;0,2;20,9;22,6;19,3;82,3;87,7;78,9;1,5;938,2;
2023/01/14;0900;0,3;21,8;23,2;19,5;66,1;71,9;60,7;0,7;927,5;
2023/01/14;1200;0,2;22,7;24,2;21,0;70,3;73,3;63,0;0,2;948,4;
2023/01/14;1500;0,1;20,9;23,1;19,4;66,6;70,7;60,3;0,6;936,7;
2023/01/14;1800;0,1;22,6;24,9;21,6;71,5;76,8;65,1;0,8;943,2;
2023/01/14;2100;0,5;21,3;24,0;18,7;73,2;78,1;68,4;1,4;939,9;
2023/01/15;0000;0,2;15,4;17,2;13,3;66,2;70,9;61,6;3,2;936,4;
2023/01/15;0300;1,0;23,8;25,5;21,9;62,1;66,7;57,1;1,1;933,7;
2023/01/15;0600;0,6;15,5;17,2;12,2;69,4;75,5;64,4;0,9;946,0;
2023/01/15;0900;0,1;18,8;20,3;17,5;64,0;70,1;59,0;0,7;945,9;
2023/01/15;1200;0,5;20,3;22,4;18,4;76,6;82,0;71,1;2,2;927,7;
2023/01/15;1500;0,5;21,5;23,9;18,2;70,2;73,0;63,8;3,1;933,9;
2023/01/15;1800;0,2;21,9;22,8;20,1;58,4;63,9;54,3;0,9;933,7;
2023/01/15;2100;0,0;21,9;23,5;19,5;77,6;82,8;72,7;4,8;937,8;
2023/01/16;0000;1,1;17,9;19,6;15,7;86,6;92,2;80,9;0,2;939,5;
2023/01/16;0300;0,1;23,1;24,0;21,5;76,6;82,3;72,1;0,1;933,5;
2023/01/16;0600;0,0;21,3;23,1;18,8;76,6;83,1;70,5;0,1;938,6;
2023/01/16;0900;0,1;22,5;25,5;20,7;72,4;77,4;67,4;2,5;935,6;
2023/01/16;1200;0,1;27,1;29,9;25,0;71,0;75,2;65,9;3,0;947,3;
2023/01/16;1500;0,2;24,6;26,5;22,2;63,7;68,6;56,5;6,7;946,0;
2023/01/16;1800;0,0;21,3;23,3;19,7;76,2;82,2;71,5;2,6;939,7;
2023/01/16;2100;0,3;19,0;20,9;16,9;75,8;80,2;70,3;1,5;935,2;
2023/01/17;0000;0,1;20,4;21,7;18,0;73,3;78,8;67,0;0,5;942,7;
2023/01/17;0300;0,8;24,6;26,7;22,6;73,6;79,3;70,0;1,2;935,0;
2023/01/17;0600;0,0;28,0;29,9;25,9;65,7;71,4;61,8;1,4;929,4;
2023/01/17;0900;0,1;29,6;32,0;27,2;78,3;84,7;73,1;0,1;944,3;
2023/01/17;1200;0,1;16,9;19,0;15,2;69,9;75,7;64,6;3,3;941,9;
2023/01/17;1500;0,0;19,6;21,5;17,8;62,9;67,5;57,3;5,4;935,4;
2023/01/17;1800;0,7;19,5;22,1;16,8;77,7;84,4;71,3;4,3;939,6;
2023/01/17;2100;0,5;27,5;30,3;25,5;73,0;77,3;68,1;0,6;932,2;
2023/01/18;0000;0,1;18,4;20,2;16,1;68,7;74,9;62,5;0,3;940,2;
2023/01/18;0300;0,1;19,5;22,3;17,7;78,3;81,8;74,1;0,5;934,6;
2023/01/18;0600;0,3;22,6;25,4;20,7;71,7;77,0;67,4;1,4;941,9;
2023/01/18;0900;0,1;27,8;29,8;26,1;79,3;85,6;74,8;1,3;941,8;
2023/01/18;1200;0,1;17,5;19,4;14,9;77,8;81,9;73,9;0,7;935,6;
2023/01/18;1500;0,0;15,4;16,2;14,7;58,6;64,8;50,0;2,0;950,1;
2023/01/18;1800;0,1;20,2;22,3;17,2;63,1;68,1;58,0;1,4;938,6;
2023/01/18;2100;0,3;17,4;20,5;15,1;79,9;84,0;75,3;3,7;950,2;
2023/01/19;0000;0,8;25,5;28,5;22,7;79,4;85,5;74,7;1,9;941,6;
2023/01/19;0300;0,0;23,0;24,9;22,4;76,4;81,5;71,3;2,2;951,0;
2023/01/19;0600;0,0;23,6;25,6;21,0;66,2;70,4;61,7;4,5;931,4;
2023/01/19;0900;1,1;20,2;23,0;18,6;60,1;64,6;54,9;2,0;936,3;
2023/01/19;1200;0,6;21,5;23,5;18,6;72,4;76,6;66,6;0,4;945,1;
2023/01/19;1500;0,3;25,5;26,9;22,6;70,5;75,4;66,5;0,5;943,7;
2023/01/19;1800;0,7;26,5;28,3;24,0;71,7;75,3;66,6;1,1;938,2;
2023/01/19;2100;0,0;23,0;24,5;20,8;71,2;76,1;66,2;3,1;938,5;
2023/01/20;0000;0,2;18,6;20,0;16,8;68,5;70,5;63,5;2,0;939,1;
2023/01/20;0300;0,1;19,1;20,3;16,7;74,4;78,2;68,4;0,2;944,2;
2023/01/20;0600;0,2;22,2;24,5;20,7;75,5;80,6;69,4;5,3;944,6;
2023/01/20;0900;0,1;17,0;18,8;15,5;66,6;71,0;62,9;3,3;944,8;
2023/01/20;1200;1,0;14,6;16,3;12,6;81,9;86,3;75,9;5,1;937,5;
2023/01/20;1500;0,1;23,2;25,6;20,9;63,3;67,9;57,7;2,2;932,1;
2023/01/20;1800;0,4;17,4;19,1;15,7;72,5;77,8;67,4;0,8;940,3;
2023/01/20;2100;0,1;24,3;25,2;22,0;66,4;72,2;59,6;3,3;934,2;
2023/01/21;0000;0,7;15,9;18,4;13,0;87,9;93,2;84,3;0,4;939,0;
2023/01/21;0300;1,1;21,2;23,7;19,2;54,4;60,0;49,3;2,8;944,5;
2023/01/21;0600;0,8;22,2;24,5;20,2;73,3;77,4;67,9;0,8;934,1;
2023/01/21;0900;0,1;25,7;27,8;23,3;71,0;76,6;68,2;0,3;939,5;
2023/01/21;1200;0,3;24,5;25,7;22,1;74,7;81,0;71,8;4,9;939,7;
2023/01/21;1500;0,2;25,8;26,7;23,7;79,2;82,6;73,6;1,0;941,6;
2023/01/21;1800;0,5;18,8;21,6;16,5;73,4;79,4;67,5;4,9;930,2;
2023/01/21;2100;0,2;16,4;18,3;14,9;84,3;88,3;79,2;1,7;942,9;
2023/01/22;0000;0,4;19,5;21,8;17,2;76,0;80,0;69,0;0,0;933,9;
2023/01/22;0300;0,3;23,5;25,1;21,3;69,4;73,1;66,9;0,1;944,4;
2023/01/22;0600;0,3;26,9;29,2;26,3;61,2;64,4;57,0;0,0;938,6;
2023/01/22;0900;0,1;29,2;31,7;27,0;74,6;80,1;71,4;0,1;933,0;
2023/01/22;1200;0,1;22,9;24,9;20,7;83,8;88,1;79,2;1,5;932,6;
2023/01/22;1500;0,1;25,6;27,5;23,8;72,9;76,2;68,2;1,5;937,1;
2023/01/22;1800;0,1;19,1;20,9;17,3;79,4;83,6;71,3;3,7;943,0;
2023/01/22;2100;0,2;23,7;25,5;21,1;63,2;68,8;58,3;9,6;941,4;
2023/01/23;0000;0,0;27,4;29,1;25,8;70,3;76,6;65,3;1,2;937,6;
2023/01/23;0300;0,0;24,7;26,7;22,6;65,4;71,2;59,2;0,2;935,4;
