REGIAO: Sudeste;
UF: SP;
ESTACAO: A711;
NOME: SAO PAULO - MIRANTE;
CODIGO (WMO): A711;
LATITUDE: -23.496;
LONGITUDE: -46.62;
DATA DE FUNDACAO: 01/01/1960;

Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mb);
2023/01/01;0000;0,3;20,8;23,1;18,5;72,9;78,1;69,4;3,5;946,6;
2023/01/01;0300;0,1;23,0;25,5;21,5;94,4;99,7;88,5;0,6;942,9;
2023/01/01;0600;0,3;21,6;23,1;18,7;74,1;80,4;68,4;0,4;944,6;
2023/01/01;0900;0,1;21,6;23,1;19,8;73,8;79,7;70,0;2,3;936,7;
2023/01/01;1200;0,5;21,2;23,2;18,8;73,5;78,4;68,4;4,7;945,2;
2023/01/01;1500;0,2;23,8;25,8;21,3;89,1;95,0;84,4;0,1;933,1;
2023/01/01;1800;0,0;28,3;30,1;25,5;73,3;77,8;69,4;1,0;936,0;
2023/01/01;2100;0,8;17,6;19,3;16,0;69,7;74,7;65,6;0,9;937,7;
2023/01/02;0000;0,1;24,2;26,1;22,3;63,0;67,8;59,1;2,0;941,2;
2023/01/02;0300;0,5;19,7;22,9;17,4;75,5;80,3;69,3;0,6;940,8;
2023/01/02;0600;0,0;21,4;22,7;19,9;81,2;85,9;75,4;2,7;933,5;
2023/01/02;0900;0,3;24,6;25,6;23,4;59,0;64,3;53,8;0,9;935,6;
2023/01/02;1200;0,7;22,5;24,7;20,4;59,3;64,0;54,9;4,5;935,2;
2023/01/02;1500;0,1;18,5;20,5;16,2;69,8;75,4;63,7;2,4;942,7;
2023/01/02;1800;0,2;19,8;21,0;18,0;52,5;58,1;46,8;0,3;944,1;
2023/01/02;2100;0,4;22,4;23,8;20,5;77,4;81,0;73,2;6,9;941,7;
2023/01/03;0000;0,6;22,8;24,8;20,8;66,2;70,9;63,2;1,2;944,3;
2023/01/03;0300;0,3;23,6;25,2;21,4;62,9;68,2;59,1;0,8;930,0;
2023/01/03;0600;0,2;24,1;26,0;22,8;62,2;66,5;55,8;0,1;944,3;
2023/01/03;0900;0,3;20,0;22,0;17,7;74,0;79,5;68,7;5,9;936,6;
2023/01/03;1200;0,0;19,4;20,8;17,6;76,6;81,6;70,3;1,3;939,4;
2023/01/03;1500;0,2;24,3;26,9;23,0;71,5;77,0;68,6;1,1;951,3;
2023/01/03;1800;0,7;18,4;20,4;17,4;68,2;70,5;63,8;1,9;931,4;
2023/01/03;2100;0,3;17,1;19,0;14,7;80,4;85,5;76,5;0,8;936,1;
2023/01/04;0000;0,5;21,8;24,5;20,2;61,6;67,6;57,1;1,1;940,9;
2023/01/04;0300;0,7;24,7;26,9;22,3;81,2;85,2;75,4;4,6;947,9;
2023/01/04;0600;0,1;19,3;20,9;16,3;67,4;72,7;64,1;3,8;942,2;
2023/01/04;0900;0,2;21,1;23,6;18,7;72,1;76,4;69,1;5,2;938,1;
2023/01/04;1200;0,1;22,0;24,0;21,1;70,4;75,4;65,8;1,5;933,4;
2023/01/04;1500;0,1;22,7;24,7;20,0;76,2;82,7;69,8;2,4;941,3;
2023/01/04;1800;0,0;23,4;24,9;20,6;70,9;75,8;66,8;4,9;923,9;
2023/01/04;2100;0,3;21,4;22,8;18,3;70,8;76,8;64,6;2,3;947,8;
2023/01/05;0000;0,0;21,7;23,0;19,9;69,1;74,4;62,3;2,5;940,8;
2023/01/05;0300;0,4;17,1;19,4;15,6;72,3;76,4;67,2;3,2;941,2;
2023/01/05;0600;0,5;24,2;26,3;22,6;67,2;72,5;61,1;2,2;942,6;
2023/01/05;0900;0,0;21,4;23,5;19,3;74,3;79,9;69,5;4,9;941,8;
2023/01/05;1200;0,0;21,7;24,4;20,1;63,6;68,0;59,4;3,7;938,1;
2023/01/05;1500;0,8;18,2;20,7;16,1;73,8;77,9;68,6;0,2;940,8;
2023/01/05;1800;0,1;14,2;15,5;12,6;76,6;81,2;70,8;1,6;943,5;
2023/01/05;2100;0,3;19,1;21,4;17,9;65,0;68,8;60,1;0,5;943,7;
2023/01/06;0000;0,1;21,2;24,1;19,2;62,8;68,6;58,7;0,3;938,7;
2023/01/06;0300;0,1;21,8;23,3;20,1;66,2;71,5;62,2;0,4;932,0;
2023/01/06;0600;0,4;22,5;25,0;21,1;59,1;63,9;54,8;1,0;933,4;
2023/01/06;0900;0,0;20,9;23,1;19,3;79,2;85,7;74,4;1,6;947,7;
2023/01/06;1200;0,3;24,1;25,6;22,7;77,2;81,5;70,5;0,8;939,3;
2023/01/06;1500;0,2;15,1;17,7;13,6;51,6;58,4;45,8;3,6;938,5;
2023/01/06;1800;0,7;22,0;24,8;19,8;79,9;84,4;76,2;0,8;947,7;
2023/01/06;2100;0,0;21,8;24,9;20,1;64,1;69,3;58,8;0,7;938,6;
2023/01/07;0000;0,1;23,8;25,9;21,6;51,8;58,0;47,6;2,2;933,7;
2023/01/07;0300;0,7;20,2;22,4;17,6;69,6;74,0;63,4;1,1;938,7;
2023/01/07;0600;0,0;23,3;25,6;20,8;62,3;67,6;58,1;2,2;936,3;
